source_title,channel,n_chunk,video_id,estimasi_durasi_menit
SUARA BERKELAS_ANDAI Mayoritas Orang Tua di INDONESIA Punya Mindset Seperti Ini! ｜ SUARA BERKELAS #117,SUARA BERKELAS,138,,69.0
"The Indah G Show_The Politics of Breastfeeding, Formula & Milk： Why Babies Shouldn't Feed Using Bottles Ft. Nia Umar",The Indah G Show,137,,68.5
SUARA BERKELAS_CINTA： Ternyata Rasa INSECURE Bisa DISEMBUHKAN dengan CARA INI ｜ SUARA BERKELAS #106,SUARA BERKELAS,130,,65.0
"Merry Riana_CANTIK, PINTAR & SUKSES, CINTA LAURA MERASA TIDAK BAHAGIA DALAM HIDUPNYA？ ｜ Friends of Merry Riana",Merry Riana,122,,61.0
SUARA BERKELAS_CARA Menemukan Bahagia & Bersyukur Versi Kamu Sendiri ｜ SUARA BERKELAS #89,SUARA BERKELAS,120,,60.0
Cinta Laura dan Sisi Gelap Kehidupan Selebriti,Cinta Laura dan Sisi Gelap Kehidupan Selebriti,119,gI57GJlivIs,59.5
"SUARA BERKELAS_Setelah Nonton Ini, Lo Dijamin Punya MINDSET Yang Lebih BERKELAS! ｜ SUARA BERKELAS #58",SUARA BERKELAS,115,,57.5
Women Founders Indonesia_Podcast Suara Perempuan ： Cinta Laura Kiehl Bicara tentang Dunia Wirausaha yang dijalaninya.,Women Founders Indonesia,97,,48.5
"Merry Riana_PERTEMUKAN AYU TING TING DENGAN KELUARGA, BOY WILLIAM SEGERA MENIKAH？ ｜ Friends of Merry Riana",Merry Riana,93,,46.5
"Rory Asyari_Berani Keluar Dari Hubungan Toksik： Kenali Tanda, Jaga Harga Diri & Mulai Pulih ｜ Zola Yoana E46",Rory Asyari,93,,46.5
Rory Asyari_Perempuan Juga Bisa Jadi CEO! Rahasia Sukses & Mandiri Marianne Rumantir ｜ E25,Rory Asyari,90,,45.0
Gabriel Prince Official Channel_BEBAN NAURA AYU SEBAGAI ANAK ARTIS!,Gabriel Prince Official Channel,90,,45.0
Maudy Ayunda_Investing 101： How to Start Investing in Your 20s？! - Maudy Ayunda & Felicia Putri Tjiasaka,Maudy Ayunda,87,,43.5
"TS Media_ALASAN BOY WILLIAM VAKUM 1 TAHUN, KARENA CINTA, ATAU KARIR？",TS Media,86,,43.0
Maudy Ayunda_Frugal Living： Kunci Kebebasan Finansial! - Maudy Ayunda & Samuel Ray,Maudy Ayunda,86,,43.0
Makna Talks_Pod. 275 Bagus Muljadi TALKS ABOUT THE NATIONS ACADEMIC INTEGRITY,Makna Talks,81,,40.5
Maudy Ayunda_Anak Muda： Nabung dulu vs YOLO？! - Maudy Ayunda & Aliyah Natasya,Maudy Ayunda,80,,40.0
Helmy Yahya Bicara_@CintaLauraKiehlOfficial  - Susah Ngasih Judulnya Saking Bagus! ｜ Helmy Yahya Bicara,Helmy Yahya Bicara,80,,40.0
Gabriel Prince Official Channel_INSECURE ATAU BERSYUKUR PUNYA PASANGAN KAYA EVA ALICIA？,Gabriel Prince Official Channel,79,,39.5
"TS Media_CINTA LAURA HERAN, KENAPA MASIH ADA YANG BILANG GINI KALAU KETEMU DIA!",TS Media,78,,39.0
CXO Media_But Being Smart Is a Choice ｜ Raymond Chin  - NSS Ep. 184,CXO Media,78,,39.0
Grace Tahir_CINTA LAURA MIRIS DENGAN FEMINISME! AKUI TAK MASALAH MENIKAH TUA？？ - Iso-Late Show #everestmedia,Grace Tahir,77,,38.5
Makna Talks_Pod. 328 Saykoji TALKS ABOUT HEAVIER FLOW BUT LIGHTER LIFE,Makna Talks,76,,38.0
"Gritte Agatha_CINTA LAURA ： DARIPADA BELI TAS BRANDED 30JUTA, MENDING DONASI KE ORANG ｜ #GritteBukaPraktek",Gritte Agatha,75,,37.5
Gabriel Prince Official Channel_PRINCE & LAURA PERNAH CINLOK!!!,Gabriel Prince Official Channel,75,,37.5
The Indah G Show_DEBATE： PRO LGBT vs. ANTI-LGBT Ft. Ust. Felix Siauw ｜ The Indah G Show,The Indah G Show,74,,37.0
"The Indah G Show_Indonesia is No Longer Safe, Crack Down on Opposition, Innovation & Fairness",The Indah G Show,72,,36.0
"Sabda PS Bahas Buku Terbaik, Cowok Sigma, & Konten Brainrot","Sabda PS Bahas Buku Terbaik, Cowok Sigma, & Konten Brainrot",72,88VXk472e5Y,36.0
The Perantau Podcast_Terapis bicara asal Indonesia： Pengalaman kerja di RS anak terbaik Australia ｜ Sabrina Suwandi,The Perantau Podcast,71,,35.5
Miss Indonesia_After the Crown： Harashta’s Life After Her Miss Supranational 2024 Reign ｜ MODECAST EPS.11,Miss Indonesia,69,,34.5
Miss Indonesia_AGATHA CHELSEA： TERUSLAH BERMIMPI SAMPAI JADI NYATA,Miss Indonesia,69,,34.5
CXO Media_⁠Buat Apa Pinter Kalau Nyebelin？ ｜ Abigail Limuria - NSS Ep. 180,CXO Media,69,,34.5
Maudy Ayunda_The Power of Taking A Pause - Maudy Ayunda & Andra Alodita,Maudy Ayunda,67,,33.5
CURHAT BANG Denny Sumargo_ARTIS JALUR GOOD LOOKING ⁉GW GANTENG & PUNYA PREVILEGE ⁉ (GABRIEL PRINCE)-Curhat Bang,CURHAT BANG Denny Sumargo,67,,33.5
Agatha Chelsea_RAYMOND CHIN： PERUSAHAAN HARUS BERUBAH DEMI GEN-Z BETAH KERJA？! - SAFE SPACE,Agatha Chelsea,62,,31.0
Raymond Chin_Belajar Cari Pasangan Hidup Secara Ilmiah,Raymond Chin,62,,31.0
The Maple Media_#REWIND with Marissa Anita： Storyteller di Persimpangan Jurnalisme dan Film,The Maple Media,61,,30.5
Miss Indonesia_Kompak Banget! Andersen Sisters cerita soal kebersamaan yang tak tergoyahkan - MODECAST EPS 16,Miss Indonesia,60,,30.0
Maudy Ayunda_Buka Kartu： Ternyata Najwa Shihab dan Maudy Ayunda juga BUCIN!,Maudy Ayunda,58,,29.0
"Ep. 31 - You Think You Think ｜ with Abigail Limuria (What is Up, Indonesia？ ｜ Malaka Books)","Ep. 31 - You Think You Think ｜ with Abigail Limuria (What is Up, Indonesia？ ｜ Malaka Books)",57,VJWAQbMrMK8,28.5
DVET_DaveIwet_Raline Shah’s Rule for Life： Be Whole Before You Give ｜ #dvetwith,DVET,55,,27.5
CXO Media_NSS Ep.2 - Boy William dan Putri Tanjung Ngomongin Pernikahan Sampai Mantan,CXO Media,54,,27.0
Miss Indonesia_KENAPA SEKARANG SEMUA MERASA ANXIETY？ I MODECAST EPS.9,Miss Indonesia,53,,26.5
TS Media_ZOLA YOANA AJARKAN PENTINGNYA MENGENAL CINTA DAN PUNYA STANDAR YANG TEPAT,TS Media,53,,26.5
Agatha Chelsea_REAKSI GABRIEL PRINCE LIAT MANTAN SAMA COWOK BARU!？ INTROVERT OR EXTROVERT？! - SAFE SPACE,Agatha Chelsea,47,,23.5
The Editors Club_TEC A Seat with Raymond Chin & Leon Hartono,The Editors Club,47,,23.5
"Nikita Willy Official_#momscorner 1 INDRA PRIAWAN ｜ Anak Tidak Akan Mau Cerita ke Orang Tua, Karena Merasa TIDAK DI DUKUNG",Nikita Willy Official,45,,22.5
"JEROME POLIN, LOE NGEHEK YA‼️- Deddy Corbuzier Podcast ❌","JEROME POLIN, LOE NGEHEK YA‼️- Deddy Corbuzier Podcast ❌",45,n0WoA0REmyA,22.5
CXO Media_Crafted in China？ Why not? ｜ Harumi PS – NSS EP. 189,CXO Media,44,,22.0
"Maudy Ayunda_Dating Tips： Jangan Dikit-Dikit Putus - Maudy Ayunda, Jovial da Lopez & Kezia Aletheia",Maudy Ayunda,43,,21.5
TS Media_LAURA MOANE SALTING BAHAS RELATIONSHIP⁉️ PANCING TERUSSS‼️ ｜ TS TALKS EPS 279 PART 1,TS Media,41,,20.5
Miss Indonesia_“BOY WILLIAM GAGAL NIKAH 3 KALICERITA JUJUR SOAL CINTA DAN PACAR BARUNYA!” ｜ MODECAST EPS.1,Miss Indonesia,39,,19.5
TS Media_PACAR CASSANDRA LEE UDAH DIRESTUI MAMA‼️ CARISSA PERUSSET SIAP MAIN SINETRON⁉️ ｜ TS TALKS 288,TS Media,39,,19.5
"Miss Indonesia_Ohh My God!! Masuk “Forum” Crown Miss Indonesia, ternyata bikin kita merasa kecil ｜ MODECAST EPS. 7",Miss Indonesia,39,,19.5
18 jam jadi RAJA di Udara😱⁉️ Nambah Makan SEPUASNYA😂 Pulang ke Indonesia Naik BUSINESS CLASS ANA✈️,18 jam jadi RAJA di Udara😱⁉️ Nambah Makan SEPUASNYA😂 Pulang ke Indonesia Naik BUSINESS CLASS ANA✈️,37,pg1Ii2P0FzQ,18.5
Monica in Netherlands_Lulus IELTS⧸TOEFL dari Nol! ｜ eps18,Monica in Netherlands,35,,17.5
Gita Wirjawan_Maudy Ayunda： Kartini Modern Berani Tantang Status Quo ｜ Endgame #77,Gita Wirjawan,31,,15.5
TS Media_BEDA UMUR PASANGAN LAURA MOANE & LUNA MAX 10 TAHUN⁉️ SAMPE PANIK NYEBUT MAIA ESTIANTY ｜ TS TALKS 279,TS Media,30,,15.0
The ALs_Alyssa's Everyday Makeup Tutorial,The ALs,28,,14.0
Miss Indonesia_QUARTER LIFE CRISIS： MONICA KEZIA VS AUDREY VANESSA - MODECAST EPS 17,Miss Indonesia,27,,13.5
Maudy Ayunda_3 Hal Penting untuk Meraih Kesuksesan - Maudy Ayunda & Iman Usman,Maudy Ayunda,26,,13.0
Agatha Chelsea_INI ALASAN DANIEL MANANTA BERHENTI JADI HOST INDONESIAN IDOL？,Agatha Chelsea,24,,12.0
"The Editors Club_Episode 6 of TEC Brunch： A Conversation with Friend of Bulgari, Alyssa Daguise, A New Shining Jewel",The Editors Club,23,,11.5
BW._ARI & SANDRINNA SPILL CERITA HORROR SAAT FILMING! ADA YANG MENTAL？ ｜ #DrinkWithBoy,BW.,22,,11.0
"TS Media_ALASAN IYAS LAWRENCE LEBIH PILIH INDONESIA KETIMBANG LONDON, KARENA CINTA？",TS Media,21,,10.5
Maudy Ayunda_First trip to Korea! - Maudy Ayunda and Mas Oppa,Maudy Ayunda,18,,9.0
"TS Media_MAXIME BOUTTIER NYARIS GAGAL MAIN FILM HOLLYWOOD, DAN CERITA GAK MAU BALIKAN SAMA PRILLY LATUCONSINA",TS Media,15,,7.5
Maudy Ayunda_Percuma Privileged Kalau Belum Mengerti Ini - Maudy Ayunda & Grace Tahir,Maudy Ayunda,14,,7.0
FemaleDailyNetwork_Bisa Bedain Barang Mewah & Murah？ Kita Tantang Casandra & Sandrinna,FemaleDailyNetwork,8,,4.0
